Follow-up ID,Parent ID,HMG Contact,Referral Date,Referral,Notes,Why Follow-up,Follow-up Date,Done,Result,Child ID
1462,1469,DeborahW,2011-06-13,Pregnancy Resource Center  801-221-2591,Moved to taylorsville and has found the services she needs.,Connected?,2011-07-13,1,Solved own problem,
1463,1469,DeborahW,2011-06-13,East Shore High School (former Alpine Life & Learning),Moved to taylorsville and has found the services she needs.,Connected?,2011-07-13,1,Solved own problem,
1464,1469,DeborahW,2011-06-13,East Shore High School (former Alpine Life & Learning),Emailed Kathy to let her know that a mother would be contacting her. Moved to taylorsville and has found the services she needs.,Connected?,2011-06-13,1,Solved own problem,
1468,1501,DeborahW,2011-07-12,Community Action Food Bank  801-373-8200,number not in service.,Connected?,2011-08-16,1,Client cannot be reached,
1469,1501,DeborahW,2011-07-12,"Utah Parent Center 801 272 1051, 800 468 1160",,Connected?,2011-08-16,1,Client cannot be reached,
1470,1412,MiriamC,2011-04-14,Pregnancy Resource Center  801-221-2591,No response from family. 5/19/11 MC,Connected?,2011-05-19,1,No response from family,
1472,1400,BrookeP,2011-04-14,Community Action Food Bank  801-373-8200,,Connected?,2011-05-03,1,No response from family,
1479,1328,BarbaraL,2011-02-22,Utah County Health Department  801-851-7000,Mom was able to purchase two car seats from the County Health Department promotions department for $25. each,Connected?,2011-02-22,1,Complete,
1486,1231,RobinL,2010-11-10,Specialist,Alpine S D Psychologist  801-610-8170 psych assessment completed,Connected?,2010-11-10,1,Appointment scheduled,
1490,1398,BrookeP,2011-03-28,Interoffice,Called 3/28/11 for more info,Update Family Information,2011-03-28,1,Complete,
1492,1514,RachelP,2011-07-22,Interoffice,Talked to Keline and she is interested in ASQ,Still interested?,2011-07-27,1,Left Message,
1493,1515,RachelP,2011-07-22,Interoffice,sent in enrollment  form.  Concerned that teaching 3 langs. Will slow down development.  Left her a message with answer to her question & told her I am sending the ASQ,Still interested?,2011-07-26,1,Complete,
1494,1516,RachelP,2011-07-22,Interoffice,I explained the ASQ program and she is interested.,Still interested?,2011-07-27,1,Complete,
1495,1516,RachelP,2011-07-22,Interoffice,Called & left message,Still interested?,2011-07-22,1,Complete,
1496,1515,RachelP,2011-07-22,Interoffice,Called & left message,Still interested?,2011-07-22,1,Complete,
1497,1514,RachelP,2011-07-22,Interoffice,Called & left message,Still interested?,2011-07-22,1,Left Message,
1499,1517,DeborahW,2011-07-26,Interoffice,Get her blog address and send her the link to ours so she can post a button on her blog.,Update Family Information,2011-09-02,1,No response from family,
1504,1422,RobinL,2011-07-29,Close File,duplicate file,File Closed,2011-07-29,1,No response from family,
1505,1446,MiriamC,2011-07-26,Welcome Baby UWAY 801-691-5320,WB contacted mom yesterday and she wanted long-term visits. 8/2/11 MC,Connected?,2011-08-02,1,Complete,
1506,1501,DeborahW,2011-07-26,Pregnancy Resource Center  801-221-2591,,Connected?,2011-08-16,1,Client cannot be reached,
1509,1162,RobinL,2011-03-01,Centro Hispano  801-655-0258,"transportation to Centro Hispano not available - car is broken, lives too far from bus stop",Connected?,2011-05-01,1,No response from family,
1510,1320,RachelP,2011-07-27,Interoffice,Called.  Not home. Sent ASQ.,Still interested?,2011-07-27,1,Complete,
1511,1434,RachelP,2011-07-27,Informational resources,Left message,Verify Improvement,2011-07-27,1,Left Message,
1526,1140,RobinL,2011-07-26,Interoffice,Follow up with family  Left message 8/8,Still interested?,2011-08-01,1,Client cannot be reached,
1531,1523,BarbaraL,2011-07-29,Interoffice,Need to research resources for son with aspergers and son with speech language issues. Son will be starting kindergarten but would like some additional resources besides educational IEP,Research,2011-07-29,1,Complete,
1534,1497,BarbaraL,2011-07-29,Headstart,Check to see if mom connected into resources.,Connected?,2011-08-05,1,Complete,
1536,1154,BarbaraL,2010-05-28,Alpine School District 801-756-8400,Mom connected with school district and Eric qualified for preschool. Eric was also diagnosed with a sensory integration diagnosis,Connected?,2010-05-28,1,Received service,
1540,1365,DeborahW,2011-08-02,Easter Seals PLAY Project  801-536-7065,Dad came in yesterday to look for transportation services - referred to paratransit. Mom called today looking for the number to the PLAY project,Connected?,2011-08-02,1,No follow through by client,
1546,1446,MiriamC,2011-08-02,Interoffice,Left message 8/2/11 MC,Update Family Information,2011-08-02,1,Complete,
1548,1446,MiriamC,2011-08-02,Interoffice,Mom said she was contacted by WB. Told her about ASQs and wants to do that too. 8/4/11 MC,Update Family Information,2011-08-04,1,Complete,
1554,1526,KamiO,2011-08-03,Mountainland Community Health  801-429-2000 (Lori Wright),Did her daughter get in to see a doctor about her walking problem?,Connected?,2011-08-11,1,Complete,
1555,1526,KamiO,2011-08-03,Interoffice,Called Mountainland about the procedure the mom needs to check in,Research,2011-08-03,1,Received service,
1556,1376,KamiO,2011-08-03,Interoffice,"Melissa called back to ask if she can continue receiving the ASQ after she moves to Nebraska next week through his first birthday. Said I would check with Barb to ask, and call back today.",Research,2011-08-03,1,"Other, see notes",
1557,1376,KamiO,2011-08-03,Interoffice,Called to tell her what Barb had said about moving out of state. Will email me about giving her address.,Research,2011-08-03,1,Complete,
1558,1252,BarbaraL,2011-08-02,Close File,Closed file BL,,2011-08-02,0,Complete,
1559,1527,BarbaraL,2011-08-03,Interoffice,Sent Lori an email to gather more information on what type of resources she may need,Research,2011-08-16,1,Complete,
1564,1529,BarbaraL,2011-08-10,Kids Cause  801-224-2055,"called KIDS Cause for children to receive , shoes., will connect with principal in school to get perscription.",Connected?,2011-08-10,1,Received service,
1565,1529,BarbaraL,2011-08-10,Community Action Food Bank  801-373-8200,"Need help staying in home, used mortgage money to pay for dental care, needs",Connected?,2011-08-17,1,Appointment scheduled,
1566,1529,BarbaraL,2011-08-10,Wasatch Mental Health  801-373-4760 (Adult services) 801-377-1213 (Children services),"Has a diagnosis , and medicare, needs psychologist.",Connected?,2011-08-17,1,Solved own problem,
1567,1529,BarbaraL,2011-08-10,Mountainland Aging (801) 229-3800,"Looking for Additional resources for food, - She is 55 and unable to hook into resources for Mountainland Aging",Connected?,2011-08-17,1,Resources exhausted,
1568,1525,BarbaraL,2011-08-10,Interoffice,Send good information on informing parents how discern whether a child has experienced some sexual abuse.,Research,2011-08-17,1,Information received by client,
1569,1530,BarbaraL,2011-08-11,Website,"jobs.utah.gov--Need childcare subsidies, and need new childcare.",Connected?,2011-08-17,1,Information received by client,
1570,1530,BarbaraL,2011-08-11,Mountainland Community Health  801-429-2000 (Lori Wright),check to see if connected to resources,Connected?,2011-08-17,1,Received service,
1571,1530,BarbaraL,2011-08-11,Childcare Resource and Referal  801-863-8220 (Julia),Check to see if she connected in.,Connected?,2011-08-17,1,Information received by client,
1572,1357,RobinL,2011-08-12,"Utah Parent Center 801 272 1051, 800 468 1160",ask if referral was useful,Connected?,2011-08-12,1,Client cannot be reached,
1573,1497,BarbaraL,2011-07-29,Interoffice,Salt Lake Community College-Mom receiving tutoring on how to register and enroll in school .,Research,2011-08-05,1,Received service,
1574,1534,BarbaraL,2011-08-15,Mountainland Aging (801) 229-3800,Need to find support in elderly care,Connected?,2011-08-24,1,Received service,
1575,1534,BarbaraL,2011-08-15,Ability Found  801-261-5738 (Ernest Robinson),,Connected?,2011-08-24,1,Received service,
1576,1534,BarbaraL,2011-08-15,Interoffice,"Thank you so much for your help and the referrals.  I passed them along to the family.  They are still trying to organize the help they need.  I'm sure it will be a lifelong challenge at this point.  You are so kind and efficient, I appreciate you. Megan",Research,2011-08-24,1,Received service,
1577,1535,DeborahW,2011-08-16,Interoffice,resources for this girl? She's hooked into LDS family services,Research,2011-08-24,1,Received service,
1579,1536,DeborahW,2011-08-26,Parents as Teachers (PAT),She'll call us back if this doesn't work out. She contacted PAT and they told her they've lost their funding. Her kids are doing great. she just wants activities and she'll contact us if she has any additional questions. 10/19/11 dw,Connected?,2011-08-30,1,"Other, see notes",
1587,1465,DeborahW,2011-08-18,Canary Gardens,,Connected?,2011-09-08,1,No response from family,
1600,1523,BarbaraL,2011-08-19,Kids on the Move  801-221-9930 (Eileen Chamberlain),Let message and email at followup. BL,Verify Improvement,2011-08-26,1,Complete,
1601,1527,BarbaraL,2011-08-19,BYU Comprehensive Clinic 801-422-7759,Both email and phone call,Connected?,2011-08-26,1,No follow through by client,
1602,1527,BarbaraL,2011-08-19,"Turning Point  801-863-7580 (childcare, GED)",Both email and phone call,Connected?,2011-08-26,1,No follow through by client,
1604,1497,BarbaraL,2011-08-19,Specialist,C & YB Military Family Life Consultant 801-878-5330--Sent Katie a letter and email with list of resoureces,Verify Improvement,2011-08-26,1,Complete,
1608,1527,BarbaraL,2011-08-19,Interoffice,Spoke with Lori not ready to address issues,Connected?,2011-08-26,1,Complete,
1619,1548,EmilyM,2011-08-29,Interoffice,"Called to get doctor information and call to let the mom know we got the enrollment form. Called, LM 8/29/11 dw. LM 9/14/11 em. LM 9/28/11 em.",Update Family Information,2011-09-28,1,No response from family,
1621,1530,BarbaraL,2011-08-30,Interoffice,Sent Jodey an email and phone message to verify connected to resources,Connected?,2011-09-06,1,Complete,
1622,1523,BarbaraL,2011-08-30,Interoffice,Sent Dr. Glade a Followup on resources given.,Scan/Fax to Doctor,2011-09-06,1,Information received by client,
1626,1529,BarbaraL,2011-08-30,Grandfamilies of Utah County  (801) 373-4765,Work: (801) 373-4765,Connected?,2011-08-30,1,Information received by client,
1631,1550,KamiO,2011-09-01,Childcare Resource and Referal  801-863-8220 (Julia),"Call to find pre-school in Alpine district area, CCR&R sending list to parents",Relay Information,2011-09-01,1,Complete,
1632,1550,KamiO,2011-09-01,Childcare Resource and Referal  801-863-8220 (Julia),Did they find a good pre-school? Yes,Connected?,2011-09-21,1,Complete,
1633,1550,KamiO,2011-09-01,Childcare Resource and Referal  801-863-8220 (Julia),Give mom info on pre-schools,Relay Information,2011-09-01,1,Complete,
1635,1547,KamiO,2011-08-26,Interoffice,Places to go for clothing and car seat,Research,2011-08-26,1,Complete,
1636,1537,RobinL,2011-08-16,Alpine Assessment Center 801-763-7952,Wendy will send results to Dr. Knorr only on parent's request,Connected?,2011-09-30,1,Complete,
1646,1557,BarbaraL,2011-09-12,Grandfamilies of Utah County  (801) 373-4765,Left message hoping will call back.,Connected?,2011-09-19,1,Complete,
1647,1547,KamiO,2011-09-12,Informational resources,"Gave info on DI, Savers, Kid to Kid for discounted clothing and items",Connected?,2011-09-19,1,Received service,
1649,1547,KamiO,2011-09-12,Informational resources,"Did she get ahold of Turning Points and UVU financial aide?, Called 10/21",Connected?,2011-09-23,1,Received service,
1650,1361,EmilyM,2011-09-16,Interoffice,Research about child sleeping in bed with parents and sleeping through the night.,Research,2011-10-05,1,Complete,
1655,1419,EmilyM,2011-09-21,Welcome Baby Health Department  801-851-7059,Talked to Welcome Baby.,Connected?,2011-10-03,1,Received service,
1657,1562,KamiO,2011-09-21,"Turning Point  801-863-7580 (childcare, GED)","Anger management classes, called",Connected?,2011-11-24,1,No response,
1658,1444,KamiO,2011-09-22,Interoffice,"Called to see if interested in WB, left a message",Update Family Information,2011-09-22,1,Complete,
1661,1540,BarbaraL,2011-09-23,Interoffice,Sent mom email to see if she needed any further resources.,Other,2011-09-30,1,Information received by client,
1662,1540,DeborahW,2011-09-23,Interoffice,Deb let's check with Monica on how to set this up . And then check with mom on creating a playgroup with PEIP,Other,2012-01-20,1,"Other, see notes",
1671,1548,EmilyM,2011-09-28,Interoffice,Call to get doctor information.,Update Family Information,2011-10-25,1,Complete,
1675,1517,EmilyM,2011-09-28,Interoffice,"send email again, close file if no response. Called 10/14/11 EM.",Still interested?,2011-10-05,1,Left Message,
1677,1545,BarbaraL,2011-09-30,BYU Comprehensive Clinic 801-422-7759,Check to see if BYU comprehensive called and set up an appt.,Connected?,2011-10-26,1,"Other, see notes",
1678,1497,BarbaraL,2011-09-30,Interoffice,Called mom on 9/30 left message to see if connected to resources. Will call back to confirm,Connected?,2011-08-05,1,Complete,
1679,1557,BarbaraL,2011-09-30,Interoffice,Left mom message will close account if no call back.,Connected?,2011-10-07,1,Complete,
1680,1567,BarbaraL,2011-09-30,Utah County Health Promotions-Car Seats 801-851-7035,Just asked Karen to call back if couldn't find car seat.,Connected?,2011-10-07,1,Information received by client,
1681,1567,BarbaraL,2011-09-30,Sub for Santa 801-356-6200,Mom interested in S4S will call back mid October when applicant line is available to families,Connected?,2011-10-26,1,Information received by client,
1684,1568,KamiO,2011-10-05,Vantage Point  801-373-2215,"Children are in teens and parents court ordered to parenting classes, sent to Vantage Point",Connected?,2011-10-19,1,Received service,
1685,1568,KamiO,2011-10-05,Nebo School District  801-354-7400,"Love & Logic Classes, going to these",Connected?,2011-10-19,1,Received service,
1689,1517,EmilyM,2011-10-14,Interoffice,Called and she is still interested. She moved so I put in her new address and sent out a new ASQ.,Still interested?,2011-10-14,1,Complete,
1690,1481,DeborahW,2011-10-14,Interoffice,Phone number is not a working number- (801-735-7653) please check it. EM,Update Family Information,2011-10-17,1,Client cannot be reached,
1701,1359,KamiO,2011-10-20,PEIP  801-852-4525 (Beri),Tried to make sure the family was signed up for this program without breaking confidentiality,Connected?,2011-10-20,1,Complete,
1703,1545,BarbaraL,2011-10-24,BYU Comprehensive Clinic 801-422-7759,Called Dean to discuss families financial hardship and Dean will have therapist recall Grandma,Connected?,2011-10-31,1,"Other, see notes",
1704,1357,RobinL,2011-07-01,"Utah Parent Center 801 272 1051, 800 468 1160",close file if no response,Still interested?,2011-10-24,1,No response from family,
1707,1497,BarbaraL,2011-10-26,The Children's Center 801-582-5534,"Dominic was placed in Children's Center preschool, mom will work and go to school while son is in preschool",Connected?,2011-10-31,1,Received service,
1709,1584,EmilyM,2011-10-28,Interoffice,Verify how many weeks early her girls were born,Update Family Information,2011-11-28,1,Complete,
1711,1585,DeborahW,2011-10-31,Interoffice,doctor's information - doesn't want us to fax ASQ to doctor.,Scan/Fax to Doctor,2011-11-18,1,Complete,
1714,1596,DeborahW,2011-10-31,Interoffice,Questions about English learning- family will talk to Lupita and Lupita will call Deb. Never heard from Lupita at PEIP - called the family and they have moved.,Other,2012-01-13,1,Child situation changed,
1724,1524,RobinL,2011-11-02,Interoffice,mom called to talk to robin about eczema. Robin to call back once she's in the office. Mom will call again tomorrow. DW,Other,2011-11-02,1,Client cannot be reached,
1725,1524,RobinL,2011-11-03,Interoffice,"left message, returned call about eczema",Other,2011-11-04,1,Client cannot be reached,
1727,1601,KamiO,2011-11-03,Family Support and Treatment  801-229-1181,Starting classes in Jan,Connected?,2011-11-17,1,Complete,
1728,1601,KamiO,2011-11-03,The Utah Family Academy (801) 377-5050,,Connected?,2011-11-17,1,Service not received,
1731,1607,KamiO,2011-11-07,"Bridges, KOTM  801-616-5800",,Connected?,2011-11-07,1,Client cannot be reached,
1732,1524,RobinL,2011-11-02,Interoffice,"Called, LM",Other,2011-11-11,1,Education through HMG,
1733,1607,KamiO,2011-11-07,Alpine School District 801-756-8400,,Connected?,2011-11-07,1,Client cannot be reached,
1734,1607,KamiO,2011-11-07,"Utah Parent Center 801 272 1051, 800 468 1160","Called multiple times, cannot get ahold of",Connected?,2011-11-07,1,Client cannot be reached,
1737,1574,KamiO,2011-11-08,Childcare Resource and Referal  801-863-8220 (Julia),set up an appointment to discuss child care options for 11/8/11. call to make sure she found the center she needed. Dw,Connected?,2011-11-08,1,Information received by client,
1745,1609,EmilyM,2011-11-11,Interoffice,Left message,Update Family Information,2011-11-11,1,Left Message,
1747,1609,EmilyM,2011-11-11,Interoffice,spoke with mom and explained to her our services. She's looking for tracking and activities. Doesn't want us to fax the info to her pediatrician as of yet. DW,Update Family Information,2011-11-14,1,Information received by client,
1751,1613,BarbaraL,2011-11-16,BYU Comprehensive Clinic 801-422-7759,Spoke to Dean and have mom called to,Connected?,2011-11-30,1,Received service,
1752,1613,DeborahW,2011-11-16,Grandfamilies of Utah County  (801) 373-4765,Karen didn't call yet. Class starts Jan 19th. Spoke with Sarah who would welcome the grandma to attend,Connected?,2011-11-30,1,Agency has not returned client’s call,
1753,1613,DeborahW,2011-11-16,Nebo School District  801-354-7400,additional tutoring? She has a nanny/tutor has been really helpful. Nebo never called her back. But the nanny has been awesome.,Connected?,2011-11-30,1,Child situation changed,
1754,1613,DeborahW,2011-11-16,Springville Family Center 801-971-7751,a class for mom and daughter to attend?,Connected?,2011-11-30,1,Parent not interested in service,
1755,1613,DeborahW,2011-11-16,Informational resources,told grandma to have herself and daughter track the outburst in behavior to be able to identify different triggers so that she and her daughter can be more sensitive to Maycee,Connected?,2011-11-30,1,Education through HMG,
1756,1613,DeborahW,2011-11-16,Interoffice,mom hired a nanny/tutor and there has been great inprovements. She's not worried about her learning as of now. 12/6/11 dw research additional tutoring ideas/websites etc,Research,2011-11-22,1,Complete,
1757,1609,EmilyM,2011-11-16,Interoffice,DW: scan the KOTM referral form as the enrollment form.,Other,2011-11-16,1,Complete,
1758,1616,EmilyM,2011-11-17,Interoffice,Left Message- Check info and get doctor info.,Update Family Information,2011-11-17,1,Left Message,
1759,1617,BarbaraL,2011-11-17,Grandfamilies of Utah County  (801) 373-4765,,Connected?,2011-11-17,1,Information received by client,
1761,1617,RobinL,2011-11-17,Interoffice,"Check educational resources..  Mom has resources, will check them out as needed.  Has finished AA degree.",Research,2011-11-17,1,Complete,
1762,1616,EmilyM,2011-11-17,Interoffice,Left Message- Check info and get doctor info.,Update Family Information,2011-11-21,1,Left Message,
1763,1616,EmilyM,2011-11-17,Interoffice,Left Message- Check info and get doctor info. And ask how they heard and what services they're looking for.,Update Family Information,2011-11-23,1,Left Message,
1768,1565,EmilyM,2011-11-29,Interoffice,Invalid phone number- Verify children details and do a WB eval.,Update Family Information,2011-12-05,1,Complete,
1775,1637,DeborahW,2011-12-01,Mountainland Community Health  801-429-2000 (Lori Wright),She hasn't taken her daughter to the doctor in years and is curious to know how she is. Have robin talk to her about any concerns she might have,Connected?,2011-12-12,0,,
1776,1637,DeborahW,2011-12-01,Mountainland Community Health  801-429-2000 (Lori Wright),,Relay Information,2011-12-01,1,Complete,
1777,1638,KamiO,2011-12-02,Welcome Baby Health Department  801-851-7059,Gave referral to boulders playgroup,Connected?,2011-12-16,1,Received service,
1778,1643,EmilyM,2011-12-02,Interoffice,Left message- Need baby's info and talk to her about HMG,Update Family Information,2011-12-05,1,Client cannot be reached,
1781,1613,BarbaraL,2011-12-06,Family Support and Treatment  801-229-1181,Will call because there may have been abused and will seek counseling to help,Connected?,2011-12-13,1,Information received by client,
1782,1651,DeborahW,2011-12-06,Interoffice,wants information on parenting classes,Connected?,2011-12-07,1,Complete,
1786,1651,DeborahW,2011-12-07,Nebo School District  801-354-7400,hasn't yet called.,Connected?,2012-01-10,1,No follow through by client,
1787,1651,DeborahW,2011-12-07,Family Support and Treatment  801-229-1181,hasn't yet called,Connected?,2012-01-10,1,No follow through by client,
1788,1651,DeborahW,2011-12-07,BYU Comprehensive Clinic 801-422-7759,hasn't called yet. Will follow up again in a few weeks.,Connected?,2012-01-10,1,No follow through by client,
1792,1659,KamiO,2011-12-08,BYU Comprehensive Clinic 801-422-7759,Worked perfect for her,Connected?,2011-12-22,1,Received service,
1793,1659,KamiO,2011-12-08,Division of Services for People with Disabilities  801-343-3900 (Dave Hennessey),Worked really wellfor her,Connected?,2011-12-22,1,Received service,
1806,1660,DeborahW,2011-12-08,Informational resources,going to a doctor and doing better in her health.,Connected?,2011-12-20,1,Received service,
1807,1660,DeborahW,2011-12-08,Pregnancy Resource Center  801-221-2591,,Connected?,2011-12-20,1,Parent not interested in service,
1808,1660,DeborahW,2011-12-08,LDS Family Services  801-422-7620,,Connected?,2011-12-20,1,Received service,
1809,1660,DeborahW,2011-12-08,Mountainland Community Health  801-429-2000 (Lori Wright),going to a doctor (didn't specify where) but she's doing better.,Connected?,2011-12-20,1,Parent not interested in service,
1810,1565,KathrynG,2011-12-09,Interoffice,Verify children details and do a WB eval.,Update Family Information,2012-01-02,1,Complete,
1811,1616,EmilyM,2011-12-09,Interoffice,tried to call 12/19/11 but the numbers were out. Will try later when verifying for the ASQ. Dw Check info and get doctor info. And ask how they heard and what services they're looking for.,Update Family Information,2012-01-23,1,No response from family,
1812,1643,EmilyM,2011-12-09,Interoffice,Need baby's info and talk to her about HMG,Update Family Information,2011-12-13,1,Complete,
1827,1671,CassiH,2011-12-13,Lehi Legacy Center 801-768-7124,Her 7 yr old daughter needs help with reading.,Connected?,2011-12-13,1,Complete,
1828,1671,MeganS,2011-12-14,Lehi Legacy Center 801-768-7124,Asked if the Lehi Literacy center was helpful. She said it was very helpful 1/19/12,Connected?,2012-01-04,1,Received service,
1829,1678,KamiO,2011-12-14,Interoffice,6 year old daughter may have a learning disability,Research,2012-01-06,1,Client cannot be reached,
1830,1680,KamiO,2011-12-14,NAMI,7 year old daughter is bipolar and needs some help.,Connected?,2012-01-06,1,Client cannot be reached,
1831,1681,KamiO,2011-12-14,Lehi Legacy Center 801-768-7124,James and Jaiden need extra help with reading skills. Connected her to Lehi Literacy Center.,Connected?,2012-01-06,1,Client cannot be reached,
1832,1682,KamiO,2011-12-14,Other,Her son Daniel needs help with his speech.,Connected?,2012-01-06,1,Client cannot be reached,
1833,1683,KristinR,2011-12-14,Lehi Legacy Center 801-768-7124,Braden cannot read very well. VM on 4/16/12. Left VM on 5/16,Connected?,2012-05-16,1,Left Message,
1838,1598,BarbaraL,2011-12-15,PCN  801-342-2600 (DWS),Called to check on follow-up,Connected?,2011-12-16,1,Received service,
1841,1689,DeborahW,2011-12-15,Utah Baby Watch,"she passed on the info to her sister. Doesn't know if she's called. Is interested in ASQ activities but DOESN""T want to get the ASQ as she receives it from her doctor",Connected?,2011-12-30,1,Outcome unknown,
1842,1688,KamiO,2011-12-15,BYU Center for Service & Learning 801-422-8686 (Access/Impact),Connected to Conexiones,Connected?,2012-02-07,1,Client cannot be reached,
1843,1688,KamiO,2011-12-15,Other,South Franklin Community Center,Connected?,2012-02-07,1,Client cannot be reached,
1844,1520,DeborahW,2011-12-15,Interoffice,wants to know if she can tap into HMG oregon. Ask barb and get info. Still wants to receive ASQs. Will give Megan the info for HMG-oregon once they're up and running and/or she needs resources.,Other,2012-02-27,1,Complete,
1846,1691,DeborahW,2011-12-16,Interoffice,explain sending ASQ to doctor and get permission - sent her an email to check the number that seems to be wrong.,Update Family Information,2012-02-20,1,Client cannot be reached,
1847,1537,RobinL,2011-08-16,Military Resources,follow up military resources,Connected?,2012-01-30,1,Complete,
1854,1692,DeborahW,2011-12-16,Mountainland Community Health  801-429-2000 (Lori Wright),,Connected?,2012-02-09,1,Child situation changed,
1855,1692,DeborahW,2011-12-16,LDS Employment  801-818-6161,,Connected?,2012-02-09,1,Information received by client,
1856,1692,DeborahW,2011-12-16,Community Health Connect  801-818-3015,changed to a new insurance,Connected?,2012-02-09,1,Child situation changed,
1859,1613,BarbaraL,2011-12-20,Specialist,"Michael Goates, MD3325 N University AveProvo, UT84604Dr. Goates , Phone: (801) 375-9305",Connected?,2011-12-27,1,Appointment scheduled,
1867,1702,BarbaraL,2012-01-05,Interoffice,"Need to call mom , she called me and I was not able to leave message, her phone system is not up yet.",Connected?,2012-01-06,1,Complete,
1868,1703,DeborahW,2012-01-07,Community Health Connect  801-818-3015,,Connected?,2012-02-20,1,Left Message,
1869,1703,DeborahW,2012-01-07,"Mountainland Family Health Center, 801-429-2000",,Connected?,2012-02-20,1,Left Message,
1870,1703,DeborahW,2012-01-07,Grandfamilies of Utah County  (801) 373-4765,,Connected?,2012-02-20,1,Left Message,
1871,1703,DeborahW,2012-01-07,Provo School District  801-374-4840,,Connected?,2012-02-20,1,Left Message,
1885,1705,DeborahW,2012-01-06,Interoffice,research anxiety and what type of help is available for a 11year old girl - preferred family clinic - anxiety consultation,Research,2012-01-10,1,Complete,
1886,1705,DeborahW,2012-01-06,BYU Comprehensive Clinic 801-422-7759,,Connected?,2012-01-18,1,No response from family,
1887,1705,DeborahW,2012-01-06,U Can Learn 801-281-5546,,Connected?,2012-01-18,1,No response from family,
1889,1343,RobinL,2012-01-07,Other,informed of family event,Verify Improvement,2012-01-30,1,Complete,
1890,1708,KamiO,2012-01-10,Children with Special Heath Care Needs 801-584-8284,mother wanted asperger's assessment,Connected?,2012-02-14,1,Client cannot be reached,
1891,1708,KamiO,2012-01-10,"Utah Parent Center 801 272 1051, 800 468 1160",,Connected?,2012-02-14,1,Client cannot be reached,
1892,1708,KamiO,2012-01-10,Other,Autism Assessment and Treatment Center 801-386-8069,Connected?,2012-02-14,1,Client cannot be reached,
1893,1708,KamiO,2012-01-10,Other,Utah Autism Foundation www.utahautismfoundation.org,Connected?,2012-02-14,1,Client cannot be reached,
1895,1651,DeborahW,2012-01-11,BYU Comprehensive Clinic 801-422-7759,,Connected?,2012-02-08,1,No follow through by client,
1896,1651,DeborahW,2012-01-11,Family Support and Treatment  801-229-1181,,Connected?,2012-02-08,1,No follow through by client,
1897,1651,DeborahW,2012-01-11,Nebo School District  801-354-7400,"never called, and has the information in her email. Close file 2/8/12 dw",Connected?,2012-02-08,1,No follow through by client,
1898,1668,DeborahW,2012-01-06,Interoffice,need unit number on her address. Have called twice.,Update Family Information,2012-01-25,1,No response from family,
1899,1705,DeborahW,2012-01-11,BYU Comprehensive Clinic 801-422-7759,"left message, reinforcing to call BYUCC and to have the family call us.",Connected?,2012-01-11,1,Complete,
1900,1692,DeborahW,2012-01-11,Mountainland Community Health  801-429-2000 (Lori Wright),left message,Connected?,2012-01-11,1,Complete,
1901,1660,DeborahW,2012-01-11,Interoffice,grandma wants us to call back to get mom's number next week. 2/9/12 dw I called and left a message. Grandma will call us if she needs any more information.,Other,2012-01-19,1,Complete,
1906,1638,KamiO,2012-01-12,Interoffice,"They're moving Tuesday, get their new address on Wednesday",Update Family Information,2012-01-18,1,Complete,
1921,1721,KamiO,2012-01-19,"Utah Parent Center 801 272 1051, 800 468 1160",,Connected?,2012-02-07,1,No response,
1922,1721,KamiO,2012-01-19,BYU Comprehensive Clinic 801-422-7759,,Connected?,2012-02-07,1,No response,
1923,1721,KamiO,2012-01-19,Nebo School District  801-354-7400,"Autism Support Group, Special education services",Connected?,2012-02-07,1,No response,
1927,1664,BarbaraL,2012-01-20,Informational resources,Mom received email and has not yet followed up on resources but has received information,Connected?,2012-01-31,1,Complete,
1929,1702,BarbaraL,2011-01-12,Interoffice,Robin connected with mom and sent her a list of resources. All listed on Dakotah  record,Other,2012-01-12,1,Complete,
1932,1726,MeganS,2012-01-24,Nebo School District  801-354-7400,hearing and speech program through the preschool- speech therapy!,Connected?,2012-02-06,1,Received service,
1936,1683,MeganS,2012-01-25,Lehi Legacy Center 801-768-7124,not yet. But she would love if I call back in two weeks to check up again,Connected?,2012-01-25,1,Parent Pending,
1942,1748,KamiO,2012-01-30,BYU Comprehensive Clinic 801-422-7759,,Connected?,2012-01-30,1,Information received by client,
1943,1764,KamiO,2012-02-01,Informational resources,"Can speak and hear, but is scared to talk, barb suggested talking to the teacher about her concerns",Research,2012-02-01,1,Education through HMG,
1944,1765,KamiO,2012-02-01,Interoffice,"Autistic 6 yo son, problems with not wanting anyone to touch his head and she wants to get his hair cut, called Lori at Bridges for ideas, Paul Mitchell has someone that does haircuts on Autistic kids",Research,2012-02-21,0,,
1946,1741,RobinL,2012-02-01,Kids Who Count 801-423-3000 (Liz),Requested social worker eval of mom's mood 2/6/2012 along with intake for Rose,Connected?,2012-02-10,1,Appointment scheduled,
1947,1709,BarbaraL,2012-02-01,Kids on the Move  801-221-9930 (Eileen Chamberlain),Call to verity if mom connected or not,Connected?,2012-02-10,1,Complete,
1948,1702,BarbaraL,2012-02-03,Interoffice,Mail box on phone not set up so impossible to leave message and no email.  Will try to call again next week.,Connected?,2012-02-10,1,No follow through by client,
1949,1322,RobinL,2011-11-29,BYU Comprehensive Clinic 801-422-7759,parents have not responded to emails or phone.  LM on dad's phone,Connected?,2012-02-07,1,Left Message,
